object	level	evidence_tier	allowed_wording	disallowed_wording
architecture_existence	dataset_level	supplementary_confirmed	Dixit/K562 在 supplementary 层面支持 architecture existence；可写成 architecture-level replication 或 structure-level transferability	Dixit proves model generalization; Dixit is a second primary mainline
canonical_backbone_present	dataset_level	supplementary_confirmed	外部 context 中存在 backbone-like structure；支持 backbone existence	backbone macro class is the same as HCC; HCC and Dixit share the same frozen mainline architecture
shift_excess_present	dataset_level	supplementary_supporting	Dixit/K562 中存在 shift-excess structure 成分；支持存在性	Dominant shift-excess macro class has been stably named
backbone_macro_class	dataset_level	supplementary_supporting	K562 的 dominant backbone 更偏 biosynthetic support / mitochondrial metabolism；说明 replication 是 context-specific	K562 backbone is aligned to HCC gene expression machinery
architecture_class	dataset_level	supplementary_supporting	K562 更像 backbone_dominant；支持外部结构复现并非与 HCC 同构	Dixit is an isomorphic replication of the HCC architecture
stable_anchor_like_objects	object_group	supplementary_supporting	在 Dixit/K562 中可观察到 stable anchor-like objects；支持 anchor-like structure can recur across contexts	stable anchors were replicated across contexts; the same anchors generalized across datasets
unresolved_6	axis_level	supplementary_supporting	支持 biosynthetic / mitochondrial 倾向的 backbone-like axis	可直接等同 HCC frozen axis
unresolved_9	axis_level	supplementary_supporting	支持局部 backbone-like structure	可单独承担 dataset-level claim
unresolved_2	axis_level	supplementary_supporting	支持 translation / chromatin-like backbone heterogeneity	可直接写成 HCC-equivalent gene expression machinery axis
unresolved_5	axis_level	preliminary	仅可作 preliminary supportive line	formal positive supplementary axis
unresolved_4	axis_level	preliminary	支持 Dixit 含 shift-excess-like component，但仅 preliminary	稳定命名的 shift-excess macro class
model_generalization_claim	global	not_supported_by_current_dixit_truth_side	当前 Dixit 只支持框架/结构层泛化，不支持模型泛化	model cross-context generalization has been demonstrated
