model_name	model_family	perturbation_type_supported	input_required	output_type	target_coverage	endpoint_compatible_output	included_role	reason_included	reason_excluded	claim_ceiling	panel	model_id	selection_role	endpoint_used_for_selection	allowed_claim_role	selection_note	cell_line	total_shift_depmap_status	axis_aligned_depmap_status	target_identity_preservation_status	artifact_role	path	size_bytes	sha256	figure_group	bytes
shared_mean_diagnostic_reference	diagnostic reference	target-level observed shift reference	observed perturbation shifts	target-level reference score	HCC38/HCC1143 evaluated targets	yes	diagnostic_control	Calibrates score behavior and upper/reference structure.		score calibration, not deployable prediction	a															
GEARS	GNN perturbation-specific model	gene perturbation	expression matrix; perturbation labels; gene graph assumptions	predicted perturbed expression	HCC38/HCC1143 evaluated targets	yes	primary_entrant	Representative genetic perturbation prediction entrant.		genetic perturbation recovery in evaluated contexts	a															
scGPT	foundation-model embedding	embedding control	pretrained model; expression matrix	embedding-derived prediction or score	HCC38/HCC1143 evaluated targets	yes	embedding_control	Tests recovery from pretrained single-cell representation.		embedding-based recovery, not direct perturbation deployment	a															
Geneformer	foundation-model embedding	embedding control	pretrained model; expression matrix	embedding-derived prediction or score	HCC38/HCC1143 evaluated targets	yes	embedding_control	Tests recovery from pretrained single-cell representation.		embedding-based recovery, not direct perturbation deployment	a															
scGPT-ridge	embedding-ridge control	linear control on pretrained embedding	scGPT embeddings; target labels; endpoint-aligned scoring input	linear predicted expression or target score	HCC38/HCC1143 evaluated targets	yes	linear_embedding_control	Separates pretrained representation signal from model-specific decoder behavior.		linear recovery from pretrained embedding	a															
Geneformer-ridge	embedding-ridge control	linear control on pretrained embedding	Geneformer embeddings; target labels; endpoint-aligned scoring input	linear predicted expression or target score	HCC38/HCC1143 evaluated targets	yes	linear_embedding_control	Separates pretrained representation signal from model-specific decoder behavior.		linear recovery from pretrained embedding	a															
low-rank linear decoder	linear control	linear target-conditioned prediction	training expression matrix; perturbation labels	predicted perturbed expression	HCC38/HCC1143 evaluated targets	yes	linear_control	Finite-capacity expression decoder control.		linear recovery behavior	a															
CPA	autoencoder perturbation-response model	gene perturbation	expression matrix; perturbation labels; compatible training design	predicted perturbed expression	HCC38/HCC1143 evaluated targets	yes	boundary_negative_entrant	Non-GNN perturbation-response model family included under the unified output contract.		current within-context endpoint-recovery entrant; HCC1143 interpreted as common/stress-like boundary case	a															
CellOT	optimal-transport perturbation-response mapping	condition mapping candidate	control and perturbed cell states; compatible mapping design	candidate mapped perturbed expression	audit required	candidate	P2_candidate_sensitivity_entrant	Transport-style model-family sensitivity candidate.	Implementation and gene-target compatibility must be audited before inclusion.	optional sensitivity entrant	a															
scGen	generative latent perturbation-response model	condition perturbation	expression matrix; perturbation labels; compatible latent-shift design	predicted perturbed expression	HCC38/HCC1143 evaluated targets	yes	positive_entrant	Historical generative perturbation-response baseline evaluated under the unified output contract.		most consistent current within-context target-observed endpoint-recovery entrant	a															
scDisInFact	disentangled condition model	condition and batch disentanglement candidate	multi-condition data with compatible covariates	candidate condition-effect prediction	audit required	candidate	registry_only	Documents condition/batch disentanglement model-family eligibility.	Not central to target-level endpoint recovery in the current benchmark design.	registry-only unless benchmark design expands	a															
											b	gears_hcc_formal_v1	pre_specified_formal	False	primary	Locked formal GEARS configuration; endpoint scores are audit outputs only.										
											b	gears_hcc_formal_v1_e20_lr1e-03_wd1e-06	finite_budget_sensitivity	False	sensitivity	Finite-budget sweep configuration; do not promote endpoint-best runs to primary claims.										
											b	gears_hcc_formal_v1_e30_lr1e-03_wd1e-05	finite_budget_sensitivity	False	sensitivity	Finite-budget sweep configuration; do not promote endpoint-best runs to primary claims.										
											b	gears_hcc_formal_v1_e30_lr2e-03_wd1e-06	finite_budget_sensitivity	False	sensitivity	Finite-budget sweep configuration; do not promote endpoint-best runs to primary claims.										
											b	gears_hcc_formal_v1_e30_lr5e-04_wd1e-06	finite_budget_sensitivity	False	sensitivity	Finite-budget sweep configuration; do not promote endpoint-best runs to primary claims.										
											b	gears_hcc_formal_v1_e40_lr1e-03_wd1e-06	finite_budget_sensitivity	False	sensitivity	Finite-budget sweep configuration; do not promote endpoint-best runs to primary claims.										
											c	cellot_hcc_formal_v1					HCC1143	estimated	estimated	estimated						
											c	cellot_hcc_formal_v1					HCC38	estimated	estimated	estimated						
											c	cpa_v0.8.8					HCC1143	estimated	estimated	estimated						
											c	cpa_v0.8.8					HCC38	estimated	estimated	estimated						
											c	gears_hcc_formal_v1					HCC1143	estimated	estimated	estimated						
											c	gears_hcc_formal_v1					HCC38	estimated	estimated	estimated						
											c	gears_hcc_formal_v1_e20_lr1e-03_wd1e-06					HCC1143	estimated	estimated	estimated						
											c	gears_hcc_formal_v1_e20_lr1e-03_wd1e-06					HCC38	estimated	estimated	estimated						
											c	gears_hcc_formal_v1_e30_lr1e-03_wd1e-05					HCC1143	estimated	estimated	estimated						
											c	gears_hcc_formal_v1_e30_lr1e-03_wd1e-05					HCC38	estimated	estimated	estimated						
											c	gears_hcc_formal_v1_e30_lr2e-03_wd1e-06					HCC1143	estimated	estimated	estimated						
											c	gears_hcc_formal_v1_e30_lr2e-03_wd1e-06					HCC38	estimated	estimated	estimated						
											c	gears_hcc_formal_v1_e30_lr5e-04_wd1e-06					HCC1143	estimated	estimated	estimated						
											c	gears_hcc_formal_v1_e30_lr5e-04_wd1e-06					HCC38	estimated	estimated	estimated						
											c	gears_hcc_formal_v1_e40_lr1e-03_wd1e-06					HCC1143	estimated	estimated	estimated						
											c	gears_hcc_formal_v1_e40_lr1e-03_wd1e-06					HCC38	estimated	estimated	estimated						
											c	geneformer_hcc_formal_v1					HCC1143	estimated	estimated	estimated						
											c	geneformer_hcc_formal_v1					HCC38	estimated	estimated	estimated						
											c	lm_g_geneformer_ridge_hcc_formal_v1					HCC1143	estimated	estimated	estimated						
											c	lm_g_geneformer_ridge_hcc_formal_v1					HCC38	estimated	estimated	estimated						
											c	lm_g_scgpt_ridge_hcc_formal_v1					HCC1143	estimated	estimated	estimated						
											c	lm_g_scgpt_ridge_hcc_formal_v1					HCC38	estimated	estimated	estimated						
											c	lm_train_lowrank_hcc_formal_v1					HCC1143	estimated	estimated	estimated						
