model_name	entrant_class	formal_primary_audit	finite_budget_sensitivity_available	finite_budget_scope	metrics_shown_in_fig3f_ed4b	reason_for_finite_budget_status	claim_ceiling
scGen	perturbation-response entrant	yes	yes	seed-level and local training-budget sensitivity runs	observed-response-aligned endpoint rho; anchor-versus-low-information AUC	Comparable trainable scGen finite-budget runs were materialized under the frozen HCC38/HCC1143 output contract.	Sensitivity envelope only; not exhaustive optimization and not a replacement for the formal entrant.
GEARS	perturbation-response entrant	yes	yes	existing local configuration sweep	observed-response-aligned endpoint rho; anchor-versus-low-information AUC	Comparable GEARS finite-budget configuration runs were available under the frozen HCC38/HCC1143 output contract.	Sensitivity envelope only; not exhaustive optimization and not a replacement for the formal entrant.
CPA	perturbation-response entrant	yes	yes	seed-level and local latent-dimension training-budget sensitivity runs	observed-response-aligned endpoint rho; anchor-versus-low-information AUC	Comparable CPA finite-budget runs were materialized under the frozen HCC38/HCC1143 output contract.	Sensitivity envelope only; not exhaustive optimization and not a replacement for the formal entrant.
CellOT	perturbation-response sensitivity entrant	yes	yes	iteration-budget and seed-level sensitivity runs	observed-response-aligned endpoint rho; anchor-versus-low-information AUC	Comparable CellOT finite-budget runs were materialized as sensitivity evidence under the frozen HCC38/HCC1143 output contract.	Sensitivity envelope only; optional sensitivity entrant and not exhaustive optimization.
scGPT	foundation or repurposed entrant	yes	no	not applicable	not shown in finite-budget envelope	Primary audit used frozen scGPT-derived outputs; no comparable trainable finite-budget perturbation-response sweep was defined for this entrant class.	Covered by primary audit and statistical calibration, not by trainable finite-budget sensitivity.
Geneformer	foundation or repurposed entrant	yes	no	not applicable	not shown in finite-budget envelope	Primary audit used frozen Geneformer-derived outputs; no comparable trainable finite-budget perturbation-response sweep was defined for this entrant class.	Covered by primary audit and statistical calibration, not by trainable finite-budget sensitivity.
scGPT-ridge	linear or embedding control	yes	no	not applicable	not shown in finite-budget envelope	Linear embedding control was included to separate representation signal from decoder behavior; a perturbation-model training sweep was not applicable.	Covered by primary audit and statistical calibration, not by trainable finite-budget sensitivity.
Geneformer-ridge	linear or embedding control	yes	no	not applicable	not shown in finite-budget envelope	Linear embedding control was included to separate representation signal from decoder behavior; a perturbation-model training sweep was not applicable.	Covered by primary audit and statistical calibration, not by trainable finite-budget sensitivity.
low-rank linear decoder	linear control	yes	no	not applicable	not shown in finite-budget envelope	Low-rank decoder served as a finite-capacity linear control; no comparable perturbation-model finite-budget sweep was promoted into the active figure.	Covered by primary audit and statistical calibration, not by trainable finite-budget sensitivity.
shared_mean_diagnostic_reference	diagnostic reference	yes	no	not applicable	not shown in finite-budget envelope	Shared-mean output is a diagnostic reference, not a trainable perturbation-prediction entrant.	Reference for score behavior and output homogenization; not a deployable prediction model or finite-budget entrant.
null	diagnostic reference	no	no	not applicable	not shown in finite-budget envelope	Null reference is used for calibration where applicable and is not a trainable model entrant.	Calibration reference only.
