dataset	context	cell_line	perturbation_modality	readout_day	endpoint_mappability	target_type	benchmark_role	claim_ceiling	inclusion_rationale
GSE241115	HCC38 day 14	HCC38	CRISPR KO CROP-seq	14	DepMap CRISPR available	targeted gene panel	primary	endpoint-aligned recovery	Late-readout gene perturbation context with direct cancer-dependency endpoint mapping.
GSE241115	HCC1143 day 14	HCC1143	CRISPR KO CROP-seq	14	DepMap CRISPR available	targeted gene panel	primary	endpoint-aligned recovery	Late-readout gene perturbation context with direct cancer-dependency endpoint mapping.
Replogle K562 genome-scale Perturb-seq	K562 day 8	K562	CRISPRi	8	DepMap mappable, audit required	genome-scale	secondary_boundary	temporal and modality boundary evidence	Large target breadth and gene-level perturbations; early readout and CRISPRi modality keep the claim below primary contexts.
Replogle K562 essential Perturb-seq	K562 day 6	K562	CRISPRi	6	DepMap mappable, audit required	essential-scale	boundary	temporal and modality boundary evidence	Useful for early-readout boundary checks, not a replacement for primary late-readout contexts.
Replogle RPE1 essential Perturb-seq	RPE1 day 7	RPE1	CRISPRi	7	not a cancer-dependency endpoint context	essential-scale	excluded_boundary	non-cancer boundary only	RPE1 is not a cancer cell line; retain in the registry as an excluded non-cancer boundary rather than a cancer-dependency endpoint analysis context.
GSE264667	HepG2 day 7	HepG2	dual-sgRNA CRISPR	7	DepMap common-essential mapping candidate	common essential candidate set	candidate_secondary	endpoint-extension audit if target mapping is sufficient	Cancer-line day-7 CRISPR context with a DepMap common-essential target design; prioritize target-level count, sgRNA assignment, and endpoint-coverage audit.
GSE264667	Jurkat day 7	Jurkat	dual-sgRNA CRISPR	7	DepMap common-essential mapping candidate	common essential candidate set	candidate_secondary	endpoint-extension audit if target mapping is sufficient	Leukemia-line day-7 CRISPR context with a DepMap common-essential target design; prioritize target-level count, sgRNA assignment, and endpoint-coverage audit.
MOLM13 Perturb-seq	MOLM13 study-specific perturbation	MOLM13	CRISPR perturbation, possibly combinatorial	study-specific	candidate, target design audit required	narrow or study-specific target set	registry_candidate	candidate hematologic cancer boundary if single-target mapping is sufficient	Cancer-line candidate, but narrow or combinatorial perturbation design may not support the current single-target recovery object.
Adamson K562 UPR Perturb-seq	K562 UPR CRISPRi	K562	CRISPRi	study-specific	DepMap mappable, narrow target audit required	narrow pathway-focused target set	registry_candidate	narrow cancer-line boundary audit	Cancer-line CRISPRi dataset useful for eligibility audit, but pathway-specific target design limits endpoint-extension claims.
Norman K562 CRISPRa	K562 CRISPRa	K562	CRISPRa	study-specific	direction mismatch for loss-of-function dependency endpoint	single-gene and gene-pair activation	excluded	not a loss-of-function dependency benchmark	Activation perturbation direction is not aligned with DepMap CRISPR/RNAi loss-of-function dependency endpoints.
Gasperini K562 enhancer CRISPRi	K562 enhancer CRISPRi	K562	enhancer CRISPRi	study-specific	indirect regulatory-element to gene mapping	regulatory element	excluded_future_extension	future regulatory-extension only	The perturbation object is a regulatory element rather than a direct gene-level dependency target.
THP-1 stimulated Perturb-seq	THP-1 LPS boundary	THP-1	CRISPR or CRISPRi under stimulation	stimulated study-specific	stimulus-confounded for baseline dependency endpoint	gene-level perturbation	excluded_boundary	stimulus-boundary registry only	Cancer-like monocytic line, but acute stimulation changes endpoint interpretation relative to baseline DepMap dependency.
Frangieh melanoma/TIL Perturb-CITE-seq	melanoma immune co-culture	melanoma models and immune co-culture	CRISPR Perturb-CITE-seq	co-culture study-specific	non-DepMap immune-evasion endpoint	gene-level perturbation	excluded_future_extension	future non-DepMap endpoint extension	Relevant to cancer immune-evasion biology, but the endpoint object is not baseline DepMap dependency.
enhancer or variant perturbation resources	future extension	various	non-gene-level perturbation	various	not direct gene-level dependency mapping	enhancer, variant, or region-level	excluded_future_extension	not primary	Target-to-endpoint mapping is not a direct gene-level DepMap dependency benchmark.
