model_name	model_family	perturbation_type_supported	input_required	output_type	target_coverage	endpoint_compatible_output	included_role	reason_included	reason_excluded	claim_ceiling
shared_mean_diagnostic_reference	diagnostic reference	target-level observed shift reference	observed perturbation shifts	target-level reference score	HCC38/HCC1143 evaluated targets	yes	diagnostic_control	Calibrates score behavior and upper/reference structure.		score calibration, not deployable prediction
GEARS	GNN perturbation-specific model	gene perturbation	expression matrix; perturbation labels; gene graph assumptions	predicted perturbed expression	HCC38/HCC1143 evaluated targets	yes	primary_entrant	Representative genetic perturbation prediction entrant.		genetic perturbation recovery in evaluated contexts
scGPT	foundation-model embedding	embedding control	pretrained model; expression matrix	embedding-derived prediction or score	HCC38/HCC1143 evaluated targets	yes	embedding_control	Tests recovery from pretrained single-cell representation.		embedding-based recovery, not direct perturbation deployment
Geneformer	foundation-model embedding	embedding control	pretrained model; expression matrix	embedding-derived prediction or score	HCC38/HCC1143 evaluated targets	yes	embedding_control	Tests recovery from pretrained single-cell representation.		embedding-based recovery, not direct perturbation deployment
scGPT-ridge	embedding-ridge control	linear control on pretrained embedding	scGPT embeddings; target labels; endpoint-aligned scoring input	linear predicted expression or target score	HCC38/HCC1143 evaluated targets	yes	linear_embedding_control	Separates pretrained representation signal from model-specific decoder behavior.		linear recovery from pretrained embedding
Geneformer-ridge	embedding-ridge control	linear control on pretrained embedding	Geneformer embeddings; target labels; endpoint-aligned scoring input	linear predicted expression or target score	HCC38/HCC1143 evaluated targets	yes	linear_embedding_control	Separates pretrained representation signal from model-specific decoder behavior.		linear recovery from pretrained embedding
low-rank linear decoder	linear control	linear target-conditioned prediction	training expression matrix; perturbation labels	predicted perturbed expression	HCC38/HCC1143 evaluated targets	yes	linear_control	Finite-capacity expression decoder control.		linear recovery behavior
CPA	autoencoder perturbation-response model	gene perturbation	expression matrix; perturbation labels; compatible training design	predicted perturbed expression	HCC38/HCC1143 evaluated targets	yes	boundary_negative_entrant	Non-GNN perturbation-response model family included under the unified output contract.		current within-context endpoint-recovery entrant; HCC1143 interpreted as common/stress-like boundary case
CellOT	optimal-transport perturbation-response mapping	condition mapping candidate	control and perturbed cell states; compatible mapping design	candidate mapped perturbed expression	audit required	candidate	P2_candidate_sensitivity_entrant	Transport-style model-family sensitivity candidate.	Implementation and gene-target compatibility must be audited before inclusion.	optional sensitivity entrant
scGen	generative latent perturbation-response model	condition perturbation	expression matrix; perturbation labels; compatible latent-shift design	predicted perturbed expression	HCC38/HCC1143 evaluated targets	yes	positive_entrant	Historical generative perturbation-response baseline evaluated under the unified output contract.		most consistent current within-context target-observed endpoint-recovery entrant
scDisInFact	disentangled condition model	condition and batch disentanglement candidate	multi-condition data with compatible covariates	candidate condition-effect prediction	audit required	candidate	registry_only	Documents condition/batch disentanglement model-family eligibility.	Not central to target-level endpoint recovery in the current benchmark design.	registry-only unless benchmark design expands
