metric	value	summary_kind	object	level	structural_stability	cutoff_stability	bootstrap_status	covariate_status	evidence_tier	allowed_wording	disallowed_wording
input_score_matrix_path	/home/data/gz0705/WTKO/RNAi/D2_combined_gene_dep_scores.csv	demeter2_conversion									
input_cell_lines	712	demeter2_conversion									
mapped_cell_lines	701	demeter2_conversion									
missing_model_id_mappings	11	demeter2_conversion									
genes	17309	demeter2_conversion									
score_direction	lower_is_more_dependent	demeter2_conversion									
gene_effect_output	/home/data/gz0705/WTKO/depmap/RNAiDEMETER2GeneEffect.csv	demeter2_conversion									
gene_dependency_output	/home/data/gz0705/WTKO/depmap/RNAiDEMETER2GeneDependency.csv	demeter2_conversion									
		claim_boundary	global_truth_depmap_bridge	global	retained	retained	not_applicable	covariate_audited_but_not_fully_closed	retainable_global_claim	当前证据支持 truth-DepMap bridge 在整体与结构层面上成立；该结论在现有 covariate audit 下仍可保留	bridge has been fully deconfounded; bridge is proved without meaningful confounding risk
		claim_boundary	Dixit_K562_supplementary	supplementary	A0_confirmed_A1_supporting_B_not_eligible	not_primary_target	not_primary_target	not_primary_target	A0_confirmed_A1_supporting	K562 13d/7d 支持 formal supplementary external evidence：A0 architecture form confirmed / A1 bridge form supporting / B content-level not eligible；NOT primary co-pillar	Dixit/K562 provides a symmetric primary conclusion with HCC; K562 provides content-level replication established
		claim_boundary	Dixit_K562_temporal_panel	supplementary	A0_confirmed_A1_temporal_stratified_B_not_eligible	not_primary_target	not_primary_target	not_primary_target	A0_confirmed_A1_supporting	7d 和 13d 均确认 backbone_plus_shift_excess；7d rank alignment 更强，13d mean shift 更大；只能写成 architecture form 时间稳定性与 bridge readout temporal stratification	13d is uniformly stronger than 7d; temporal panel proves external model-side generalization; K562 temporal panel establishes content-level convergence
		claim_boundary	Replogle_RNAi_expansion_candidate	external_expansion	not_yet_admitted	not_yet_checked	not_yet_checked	not_yet_checked	admission_required	Replogle 7d CRISPRi + DepMap RNAi/shRNA dependency 只能作为 short-horizon / modality-compatible external expansion；先完成 cell line/gene namespace/target overlap/endpoint metadata check，再决定是否下载并正式运行	Replogle RNAi expansion is primary closure; DepMap RNAi is a siRNA matched endpoint; Replogle expansion proves external model-side generalization
		claim_boundary	Dixit_architecture_replication	supplementary	A0_confirmed_A1_supporting_B_not_eligible	not_primary_target	not_primary_target	not_primary_target	A0_confirmed	Dixit/K562 可写成 architecture-level replication（A0）或 structure-level transferability（A1 supporting）；NOT content-level replication	Dixit proves model generalization across contexts
		claim_boundary	Dixit_anchor_like_objects	supplementary_object_group	A0_confirmed_A1_supporting_B_not_eligible	not_primary_target	not_primary_target	not_primary_target	A1_supporting	Dixit/K562 中可观察到 stable anchor-like objects，但只能支持 A1-level structure recurrence；NOT B-level content equivalence	stable anchors were strictly replicated across contexts
