run_id	context	model	role	training_seed	feature_seed	evaluation_setting	inference_family	reported_runtime_json	seed_semantics	endpoint_inference_seed	inference_overrides	inference_seed_record	registration_record	checkpoint_archive
m3|HCC1143|observed_shift_oracle	HCC1143	observed_shift_oracle	diagnostic_reference	not_applicable_or_not_recorded	not_applicable_or_not_recorded	reference	m3	{}	Explicit new training/feature seeds are listed separately; historical CLI and initialization seeds are not interchangeable; original runtime/configuration records are retained	not_applicable	{}	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	configs/revision/; provenance/README.md	not_in_this_training_archive
m3|HCC1143|negated_oracle	HCC1143	negated_oracle	diagnostic_reference	not_applicable_or_not_recorded	not_applicable_or_not_recorded	reference	m3	{}	Explicit new training/feature seeds are listed separately; historical CLI and initialization seeds are not interchangeable; original runtime/configuration records are retained	not_applicable	{}	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	configs/revision/; provenance/README.md	not_in_this_training_archive
m3|HCC1143|shared_mean_baseline	HCC1143	shared_mean_baseline	diagnostic_reference	not_applicable_or_not_recorded	not_applicable_or_not_recorded	reference	m3	{}	Explicit new training/feature seeds are listed separately; historical CLI and initialization seeds are not interchangeable; original runtime/configuration records are retained	not_applicable	{}	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	configs/revision/; provenance/README.md	not_in_this_training_archive
m3|HCC1143|observed_magnitude_random_direction_seed20260920	HCC1143	observed_magnitude_random_direction_seed20260920	diagnostic_reference	not_applicable_or_not_recorded	not_applicable_or_not_recorded	reference	m3	{}	Explicit new training/feature seeds are listed separately; historical CLI and initialization seeds are not interchangeable; original runtime/configuration records are retained	not_applicable	{}	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	configs/revision/; provenance/README.md	not_in_this_training_archive
m3|HCC1143|observed_magnitude_random_direction_seed20260921	HCC1143	observed_magnitude_random_direction_seed20260921	diagnostic_reference	not_applicable_or_not_recorded	not_applicable_or_not_recorded	reference	m3	{}	Explicit new training/feature seeds are listed separately; historical CLI and initialization seeds are not interchangeable; original runtime/configuration records are retained	not_applicable	{}	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	configs/revision/; provenance/README.md	not_in_this_training_archive
m3|HCC1143|observed_magnitude_random_direction_seed20260922	HCC1143	observed_magnitude_random_direction_seed20260922	diagnostic_reference	not_applicable_or_not_recorded	not_applicable_or_not_recorded	reference	m3	{}	Explicit new training/feature seeds are listed separately; historical CLI and initialization seeds are not interchangeable; original runtime/configuration records are retained	not_applicable	{}	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	configs/revision/; provenance/README.md	not_in_this_training_archive
m3|HCC1143|observed_magnitude_random_direction_seed20260923	HCC1143	observed_magnitude_random_direction_seed20260923	diagnostic_reference	not_applicable_or_not_recorded	not_applicable_or_not_recorded	reference	m3	{}	Explicit new training/feature seeds are listed separately; historical CLI and initialization seeds are not interchangeable; original runtime/configuration records are retained	not_applicable	{}	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	configs/revision/; provenance/README.md	not_in_this_training_archive
m3|HCC1143|observed_magnitude_random_direction_seed20260924	HCC1143	observed_magnitude_random_direction_seed20260924	diagnostic_reference	not_applicable_or_not_recorded	not_applicable_or_not_recorded	reference	m3	{}	Explicit new training/feature seeds are listed separately; historical CLI and initialization seeds are not interchangeable; original runtime/configuration records are retained	not_applicable	{}	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	configs/revision/; provenance/README.md	not_in_this_training_archive
m3|HCC1143|observed_magnitude_random_direction_seed20260925	HCC1143	observed_magnitude_random_direction_seed20260925	diagnostic_reference	not_applicable_or_not_recorded	not_applicable_or_not_recorded	reference	m3	{}	Explicit new training/feature seeds are listed separately; historical CLI and initialization seeds are not interchangeable; original runtime/configuration records are retained	not_applicable	{}	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	configs/revision/; provenance/README.md	not_in_this_training_archive
m3|HCC1143|observed_magnitude_random_direction_seed20260926	HCC1143	observed_magnitude_random_direction_seed20260926	diagnostic_reference	not_applicable_or_not_recorded	not_applicable_or_not_recorded	reference	m3	{}	Explicit new training/feature seeds are listed separately; historical CLI and initialization seeds are not interchangeable; original runtime/configuration records are retained	not_applicable	{}	archive_manifest.json: score_groups; configs/revision/revision_metric_spec_v1.json	configs/revision/; provenance/README.md	not_in_this_training_archive
