object	evidence_tier	disallowed_wording	n_disallowed_phrases
global_truth_depmap_bridge	retainable_global_claim	bridge has been fully deconfounded; bridge is proved without meaningful confounding risk	2
barcode_gem_group_design_proxy	methodological_boundary	barcode_gem_group has been uniquely resolved to MH001 through MH006; barcode_gem_group is a fully resolved run-level covariate	2
GEARS_tradeoff_diagnosis	primary_conclusion	GEARS is the overall HCC primary winner; model recovery has been demonstrated	2
PFDN5	primary_but_qualified	PFDN5 is a fully deconfounded strongest anchor	1
PMF1	supporting_only	PMF1 is a clean primary anchor; PMF1 alone nails down the bridge	2
PRPF6	supporting_only	PRPF6 is a clean primary anchor; PRPF6 alone nails down the bridge	2
ZNF131	supporting_only	ZNF131 is a clean primary anchor; ZNF131 alone nails down the bridge	2
cutoff_sensitive_anchor_set	supporting_but_sensitive	cutoff-sensitive anchors can be elevated to primary anchor set	1
transcription_chromatin_axis	primary_axis_but_qualified	transcription / chromatin is fully deconfounded and fully established beyond current boundary	1
other_axes	supporting_or_preliminary	most axes are fully established at the same level as transcription / chromatin	1
Dixit_K562_supplementary	A0_confirmed_A1_supporting	Dixit/K562 provides a symmetric primary conclusion with HCC; K562 provides content-level replication established	2
Dixit_K562_temporal_panel	A0_confirmed_A1_supporting	13d is uniformly stronger than 7d; temporal panel proves external model-side generalization; K562 temporal panel establishes content-level convergence	3
Replogle_RNAi_expansion_candidate	admission_required	Replogle RNAi expansion is primary closure; DepMap RNAi is a siRNA matched endpoint; Replogle expansion proves external model-side generalization	3
Dixit_architecture_replication	A0_confirmed	Dixit proves model generalization across contexts	1
Dixit_anchor_like_objects	A1_supporting	stable anchors were strictly replicated across contexts	1
discovery_phenotype_shifter	gated_downstream_layer	discovery is a current formal primary deliverable	1
shift_interpretation_band	boundary_frozen	把 shift 写成单一层；把 shared trend / overall displacement 等同于 shift-excess；把 GEARS 的 shift-excess 相对优势写成整体 shift recovery proved	1
