object	level	structural_stability	cutoff_stability	bootstrap_status	covariate_status	evidence_tier	allowed_wording	disallowed_wording
global_truth_depmap_bridge	global	retained	retained	not_applicable	covariate_audited_but_not_fully_closed	retainable_global_claim	当前证据支持 truth-DepMap bridge 在整体与结构层面上成立；该结论在现有 covariate audit 下仍可保留	bridge has been fully deconfounded; bridge is proved without meaningful confounding risk
barcode_gem_group_design_proxy	covariate_axis	not_applicable	not_applicable	not_applicable	design_proxy_confirmed_but_not_run_resolved	methodological_boundary	barcode_gem_group 可写成更接近实验设计 aggregation 结构的 design-proxy axis；当前只确认到 HCC38 对应 aggrMH001-3、HCC1143 对应 aggrMH004-6，不能写成单个 MH00x 已确认 run label	barcode_gem_group has been uniquely resolved to MH001 through MH006; barcode_gem_group is a fully resolved run-level covariate
GEARS_tradeoff_diagnosis	global	not_applicable	not_applicable	not_applicable	not_directly_impugned_by_current_anchor_audit	primary_conclusion	GEARS 应被定位为 architecture trade-off diagnosis，而不是 primary winner	GEARS is the overall HCC primary winner; model recovery has been demonstrated
PFDN5	anchor	stable_shared_anchor	retained	not_applicable	retain_with_caution	primary_but_qualified	PFDN5 可保留为相对更轻风险的 stable anchor，但必须带方法学谨慎	PFDN5 is a fully deconfounded strongest anchor
PMF1	anchor	stable_shared_anchor	retained	not_applicable	supporting_but_covariate_exposed	supporting_only	PMF1 保留结构稳定 anchor 身份，但当前仅适合作为 supporting evidence	PMF1 is a clean primary anchor; PMF1 alone nails down the bridge
PRPF6	anchor	stable_shared_anchor	retained	not_applicable	supporting_but_covariate_exposed	supporting_only	PRPF6 保留结构稳定 anchor 身份，但当前仅适合作为 supporting evidence	PRPF6 is a clean primary anchor; PRPF6 alone nails down the bridge
ZNF131	anchor	stable_shared_anchor	retained	not_applicable	supporting_but_covariate_exposed	supporting_only	ZNF131 保留结构稳定 anchor 身份，但当前仅适合作为 supporting evidence	ZNF131 is a clean primary anchor; ZNF131 alone nails down the bridge
cutoff_sensitive_anchor_set	anchor_group	cutoff_sensitive_shared_anchor	sensitive	not_applicable	not_formally_deconfounded	supporting_but_sensitive	ENY2/NPM1/RPS3/RUVBL2/ZBTB17 只可作为 supporting but sensitive objects	cutoff-sensitive anchors can be elevated to primary anchor set
transcription_chromatin_axis	axis	formal_positive_axis	retained	stable_axis_call	covariate_not_formally_closed	primary_axis_but_qualified	transcription / chromatin 是当前唯一更稳的 formal positive axis	transcription / chromatin is fully deconfounded and fully established beyond current boundary
other_axes	axis_group	preliminary_or_mixed_varies	varies	stable_or_moderately_stable_but_nonpositive_for_most	covariate_not_formally_closed	supporting_or_preliminary	多数其余 axis 仍应写成 supporting 或 preliminary axes	most axes are fully established at the same level as transcription / chromatin
Dixit_K562_supplementary	supplementary	A0_confirmed_A1_supporting_B_not_eligible	not_primary_target	not_primary_target	not_primary_target	A0_confirmed_A1_supporting	K562 13d/7d 支持 formal supplementary external evidence：A0 architecture form confirmed / A1 bridge form supporting / B content-level not eligible；NOT primary co-pillar	Dixit/K562 provides a symmetric primary conclusion with HCC; K562 provides content-level replication established
Dixit_K562_temporal_panel	supplementary	A0_confirmed_A1_temporal_stratified_B_not_eligible	not_primary_target	not_primary_target	not_primary_target	A0_confirmed_A1_supporting	7d 和 13d 均确认 backbone_plus_shift_excess；7d rank alignment 更强，13d mean shift 更大；只能写成 architecture form 时间稳定性与 bridge readout temporal stratification	13d is uniformly stronger than 7d; temporal panel proves external model-side generalization; K562 temporal panel establishes content-level convergence
Replogle_RNAi_expansion_candidate	external_expansion	not_yet_admitted	not_yet_checked	not_yet_checked	not_yet_checked	admission_required	Replogle 7d CRISPRi + DepMap RNAi/shRNA dependency 只能作为 short-horizon / modality-compatible external expansion；先完成 cell line/gene namespace/target overlap/endpoint metadata check，再决定是否下载并正式运行	Replogle RNAi expansion is primary closure; DepMap RNAi is a siRNA matched endpoint; Replogle expansion proves external model-side generalization
Dixit_architecture_replication	supplementary	A0_confirmed_A1_supporting_B_not_eligible	not_primary_target	not_primary_target	not_primary_target	A0_confirmed	Dixit/K562 可写成 architecture-level replication（A0）或 structure-level transferability（A1 supporting）；NOT content-level replication	Dixit proves model generalization across contexts
Dixit_anchor_like_objects	supplementary_object_group	A0_confirmed_A1_supporting_B_not_eligible	not_primary_target	not_primary_target	not_primary_target	A1_supporting	Dixit/K562 中可观察到 stable anchor-like objects，但只能支持 A1-level structure recurrence；NOT B-level content equivalence	stable anchors were strictly replicated across contexts
discovery_phenotype_shifter	discovery	not_yet_gated	not_yet_gated	not_yet_gated	upstream_claims_not_yet_fully_closed	gated_downstream_layer	discovery 当前只能写成 gated downstream layer	discovery is a current formal primary deliverable
shift_interpretation_band	model_side	interpretation_boundary	not_primary_target	not_primary_target	not_primary_target	boundary_frozen	shared trend / overall displacement 与 shift-excess 必须分开写；shift-excess 只指超出 backbone / shared trend 可解释部分的过度偏移；GEARS 可写成在部分 setting 中更偏向 separation / shift-excess signal	把 shift 写成单一层；把 shared trend / overall displacement 等同于 shift-excess；把 GEARS 的 shift-excess 相对优势写成整体 shift recovery proved
