category	x	y	definition	panel	evidence_layer	contexts	n_contexts	contract_object	derived_readout	audit_question	claim	supported
Anchor	0.83	0.84	high dependency / high shift	a								
Shift-excess	0.17	0.84	lower dependency / high shift	a								
Dependency-excess	0.83	0.16	high dependency / lower shift	a								
Low-information	0.17	0.16	lower dependency / lower shift	a								
Middle	0.5	0.5	retained middle band	a								
				b	Primary model-audit layer	HCC1143 day 14; HCC38 day 14	2.0					
				b	External bridge-form / boundary layer	K562 TF day 13; K562 TF day 7; K562 essential CRISPRi day 6; K562 genome-scale CRISPRi day 8	4.0					
				b	Secondary endpoint-extension layer	HepG2 day 7; Jurkat day 7	2.0					
				b	Narrow pathway boundary candidate	MOLM13 mSWI/SNF Perturb-seq; Adamson K562 UPR Perturb-seq	2.0					
				b	Excluded / future-extension registry	Frangieh melanoma/TIL Perturb-CITE-seq; Gasperini K562 enhancer CRISPRi; Norman K562 CRISPRa; RPE1 essential CRISPRi day 7; THP-1 stimulated Perturb-seq	5.0					
				c				target x gene predicted shift	total shift magnitude	dependency-associated magnitude?		
				c				target x axis projection	axis-aligned magnitude	endpoint-relevant structure?		
				c				axis profile	common/stress score	common-response collapse?		
				c				target-target similarity	identity preservation	target-specific structure?		
				c				frozen endpoint categories	anchor separation	category recovery?		
				d							Endpoint-recovery audit	Yes
				d							Common-response collapse detection	Yes
				d							Dataset eligibility governance	Yes
				d							Direct DepMap score prediction	No
				d							Broad unseen-target/cell-line generalization	No
				d							Causal fitness mechanism inference	No
